parameter,value,scenario,mode,steps,seed,J_initial,D_initial,J_after_update_1,J_final,D_after_update_1,D_final,stress_final,J_mean,D_mean,stress_mean,movement_total,max_abs_x,max_abs_v
dt,1.0,zero,standard,300,42,0.0663266915454487,0.00047046694521315666,1.1830720264299417,1.6585168912198223,0.1448492691026211,0.29686440925112734,0.0,1.6958012857869824,0.2995770058859289,0.0,71.20642549729726,0.24542560043585965,0.12
dt,1.0,zero,gated,300,42,0.0663266915454487,0.00047046694521315666,0.047291712079763154,2.8339297588428143e-44,0.0002301366080741249,2.863019230302155e-94,0.0,0.0005531685078392872,1.5363314385140212e-06,0.0,0.06633190086032834,0.011487456086003142,0.0043046720690707715
dt,1.0,full,standard,100,42,0.0,0.0,1.2000000000000002,5.758079908675757,7.703719777548943e-33,1.2754843240449871,0.42519188267697017,5.608103561848618,1.2139376508952906,0.4270416328446629,21.06649029571417,1.0,0.12
dt,1.0,full,gated,100,42,0.0,0.0,1.2000000000000002,5.758079908675757,7.703719777548943e-33,1.2754843240449871,0.42519188267697017,5.608103561848618,1.2139376508952906,0.4270416328446629,21.06649029571417,1.0,0.12
dt,1.0,partial,standard,200,42,0.0,0.0,0.6,4.4892373169743545,0.036,1.9936969200245325,0.351581744260318,4.4299208473234275,1.9036946088489781,0.35279905045601767,52.22468604210211,1.0,0.12
dt,1.0,partial,gated,200,42,0.0,0.0,0.6,3.7844135498750675,0.036,1.770436247908911,0.35305259719550036,3.7525394697674512,1.7479642969451876,0.3533817102559763,52.06520421167531,1.0,0.12
dt,1.5,zero,standard,300,42,0.0663266915454487,0.00047046694521315666,1.790625344471397,1.7318629499084568,0.3248896461980902,0.3684354062121218,0.0,1.835144981033796,0.40407769446348246,0.0,477.696741657055,0.3200603067172151,0.12
dt,1.5,zero,gated,300,42,0.0663266915454487,0.00047046694521315666,0.025931577949018656,1.2316883684662493e-98,4.932050547600196e-05,1.880786619628134e-197,0.0,0.00016526924135310718,2.3603869963451956e-07,0.0,0.07217362726258549,0.006106615999664678,0.006457008103606158
dt,1.5,full,standard,100,42,0.0,0.0,1.7999999999999998,5.923781917583331,0.0,1.3200190071393245,0.4250345992446508,5.695130457816372,1.2972593044614953,0.4269402039171334,127.91948654715014,1.0,0.12
dt,1.5,full,gated,100,42,0.0,0.0,1.7999999999999998,5.923781917583331,0.0,1.3200190071393245,0.4250345992446508,5.695130457816372,1.2972593044614953,0.4269402039171334,127.91948654715014,1.0,0.12
dt,1.5,partial,standard,200,42,0.0,0.0,0.8999999999999999,4.3981363775159705,0.08099999999999999,1.7454272329738179,0.35260816870894046,4.4262037478533305,1.956678701138958,0.3529185077355697,262.1449389054952,1.0,0.12
dt,1.5,partial,gated,200,42,0.0,0.0,0.8999999999999999,4.377415903030991,0.08099999999999999,1.8855824591682993,0.35003584033401364,3.9246934984561426,1.8004002575869487,0.3532052773868739,229.1747231845459,1.0,0.12
